route,departure_time,hour,passengers
5,1900-01-01 08:49:00,8,26.56536057102391
5,1900-01-01 09:05:00,9,50.12367950755933
5,1900-01-01 09:49:00,9,51.38097211792097
5,1900-01-01 10:05:00,10,17.21036979653642
5,1900-01-01 10:49:00,10,59.16301980811603
5,1900-01-01 11:05:00,11,45.47587241782158
5,1900-01-01 11:49:00,11,46.64252814385558
5,1900-01-01 12:05:00,12,62.359034873432215
5,1900-01-01 12:49:00,12,59.62336328708903
5,1900-01-01 13:05:00,13,50.143798023884955
5,1900-01-01 13:49:00,13,73.5935758845706
5,1900-01-01 14:05:00,14,65.20462659087123
5,1900-01-01 14:49:00,14,47.763821094195876
5,1900-01-01 15:05:00,15,39.66441592691958
5,1900-01-01 15:49:00,15,52.26637019692715
5,1900-01-01 16:05:00,16,52.38770723667775
5,1900-01-01 16:49:00,16,28.96671004642753
5,1900-01-01 17:05:00,17,53.05401693391467
5,1900-01-01 17:49:00,17,23.58436737511737
5,1900-01-01 05:50:00,5,20.2595741886633
5,1900-01-01 06:04:00,6,13.692290839315511
5,1900-01-01 06:34:00,6,28.103154718844497
5,1900-01-01 06:35:00,6,17.591204929934765
5,1900-01-01 07:05:00,7,45.22070737835125
5,1900-01-01 07:19:00,7,27.267938573250444
5,1900-01-01 07:45:00,7,62.544026237154505
5,1900-01-01 07:49:00,7,40.977817176978654
5,1900-01-01 08:20:00,8,41.885223760134046
5,1900-01-01 08:29:00,8,36.86996823069761
5,1900-01-01 08:50:00,8,29.836939611468196
5,1900-01-01 09:09:00,9,43.96386559077136
5,1900-01-01 09:25:00,9,39.89794197922369
5,1900-01-01 09:39:00,9,29.070217947185057
5,1900-01-01 09:55:00,9,50.77133567024411
5,1900-01-01 10:14:00,10,58.70441709165382
5,1900-01-01 10:25:00,10,40.98243730773652
5,1900-01-01 10:44:00,10,51.97327378892146
5,1900-01-01 10:55:00,10,26.159068253102003
5,1900-01-01 11:09:00,11,43.772507295088985
5,1900-01-01 11:25:00,11,65.9056563323624
5,1900-01-01 11:39:00,11,55.77776621660098
5,1900-01-01 11:55:00,11,34.315861894433056
5,1900-01-01 12:09:00,12,52.60230882266616
5,1900-01-01 12:25:00,12,53.816413830999196
5,1900-01-01 12:39:00,12,52.54028614694073
5,1900-01-01 12:55:00,12,58.26495441274899
5,1900-01-01 13:09:00,13,73.44137979620353
5,1900-01-01 13:25:00,13,53.98515013532772
5,1900-01-01 13:39:00,13,58.939196997381366
5,1900-01-01 13:55:00,13,59.68677813791556
5,1900-01-01 14:09:00,14,51.282593930125664
5,1900-01-01 14:25:00,14,58.27426264073826
5,1900-01-01 14:39:00,14,46.956990871153074
5,1900-01-01 14:55:00,14,39.71071459703035
5,1900-01-01 15:09:00,15,47.95318364766945
5,1900-01-01 15:25:00,15,51.407622752851054
5,1900-01-01 15:42:00,15,50.52778839458778
5,1900-01-01 15:55:00,15,51.91658602043042
5,1900-01-01 16:14:00,16,34.296528423992285
5,1900-01-01 16:35:00,16,31.655197951382675
5,1900-01-01 16:42:00,16,34.11497313263577
5,1900-01-01 17:05:00,17,29.212709246006284
5,1900-01-01 17:26:00,17,41.022192427503725
5,1900-01-01 17:35:00,17,59.749407687200154
5,1900-01-01 17:55:00,17,7.541435624194957
5,1900-01-01 18:05:00,18,41.65289902807336
5,1900-01-01 18:28:00,18,21.222370615499432
5,1900-01-01 18:35:00,18,31.316492226157262
5,1900-01-01 18:53:00,18,52.0585859275901
5,1900-01-01 19:24:00,19,37.42025652892512
5,1900-01-01 19:30:00,19,33.15488275507449
5,1900-01-01 20:19:00,20,51.69829942861075
5,1900-01-01 20:30:00,20,29.051529855070683
5,1900-01-01 21:19:00,21,29.408916838036046
5,1900-01-01 21:30:00,21,42.018559865124445
5,1900-01-01 22:19:00,22,29.935522701366256
